Fr,n,Lifetime
500,2100,88283.21679
500,2200,84270.3433
500,2300,80606.41533
500,2400,77247.81469
500,2500,74157.9021
500,2600,71305.6751
500,2700,68664.72417
500,2800,66212.41259
500,2900,63929.22595
500,3000,61798.25175
500,3100,59804.75976
500,3200,57935.86102
500,3300,56180.22887
500,3400,54527.86919
500,3500,52969.93007
600,100,1009624.677
600,200,504812.3387
600,300,336541.5592
600,400,252406.1694
600,500,201924.9355
600,600,168270.7796
600,700,144232.0968
600,800,126203.0847
600,900,112180.5197
600,1000,100962.4677
600,1100,91784.06159
600,1200,84135.38979
600,1300,77663.43673
600,1400,72116.04839
600,1500,67308.31183
600,1600,63101.54234
600,1700,59389.68691
600,1800,56090.25986
600,1900,53138.14092
600,2000,50481.23387
600,2100,48077.36559
600,2200,45892.03079
600,2300,43896.72511
600,2400,42067.69489
600,2500,40384.9871
600,2600,38831.71836
600,2700,37393.50657
600,2800,36058.0242
600,2900,34814.64405
600,3000,33654.15592
600,3100,32568.53798
600,3200,31550.77117
600,3300,30594.6872
600,3400,29694.84345
600,3500,28846.41936
700,100,603954.1804
700,200,301977.0902
700,300,201318.0601
700,400,150988.5451
700,500,120790.8361
700,600,100659.0301
700,700,86279.16864
700,800,75494.27256
700,900,67106.02005
700,1000,60395.41804
700,1100,54904.9255
700,1200,50329.51504
700,1300,46458.01388
700,1400,43139.58432
700,1500,40263.61203
700,1600,37747.13628
700,1700,35526.7165
700,1800,33553.01002
700,1900,31787.06213
700,2000,30197.70902
700,2100,28759.72288
700,2200,27452.46275
700,2300,26258.87741
700,2400,25164.75752
700,2500,24158.16722
700,2600,23229.00694
700,2700,22368.67335
700,2800,21569.79216
700,2900,20826.00622
700,3000,20131.80601
700,3100,19482.39292
700,3200,18873.56814
700,3300,18301.64183
700,3400,17763.35825
700,3500,17255.83373
800,100,386988.0031
800,200,193494.0015
800,300,128996.001
800,400,96747.00077
800,500,77397.60062
800,600,64498.00052
800,700,55284.00044
800,800,48373.50039
800,900,42998.66701
800,1000,38698.80031
800,1100,35180.72755
800,1200,32249.00026
800,1300,29768.30793
800,1400,27642.00022
800,1500,25799.20021
800,1600,24186.75019
800,1700,22764.00018
800,1800,21499.33351
800,1900,20367.78964
800,2000,19349.40015
800,2100,18428.00015
800,2200,17590.36378
800,2300,16825.56535
800,2400,16124.50013
800,2500,15479.52012
800,2600,14884.15397
800,2700,14332.889
800,2800,13821.00011
800,2900,13344.4139
800,3000,12899.6001
800,3100,12483.48397
800,3200,12093.3751
800,3300,11726.90918
800,3400,11382.00009
800,3500,11056.80009
900,100,261329.8948
900,200,130664.9474
900,300,87109.96493
900,400,65332.4737
900,500,52265.97896
900,600,43554.98247
900,700,37332.84211
900,800,32666.23685
900,900,29036.65498
900,1000,26132.98948
900,1100,23757.26316
900,1200,21777.49123
900,1300,20102.2996
900,1400,18666.42106
900,1500,17421.99299
900,1600,16333.11842
900,1700,15372.34675
900,1800,14518.32749
900,1900,13754.20499
900,2000,13066.49474
900,2100,12444.2807
900,2200,11878.63158
900,2300,11362.16934
900,2400,10888.74562
900,2500,10453.19579
900,2600,10051.1498
900,2700,9678.884993
900,2800,9333.210529
900,2900,9011.375683
900,3000,8710.996493
900,3100,8429.996606
900,3200,8166.559212
900,3300,7919.087721
900,3400,7686.173376
900,3500,7466.568423
1000,100,183934.8935
1000,200,91967.44673
1000,300,61311.63115
1000,400,45983.72336
1000,500,36786.97869
1000,600,30655.81558
1000,700,26276.41335
1000,800,22991.86168
1000,900,20437.21038
1000,1000,18393.48935
1000,1100,16721.35395
1000,1200,15327.90779
1000,1300,14148.83796
1000,1400,13138.20668
1000,1500,12262.32623
1000,1600,11495.93084
1000,1700,10819.69962
1000,1800,10218.60519
1000,1900,9680.783866
1000,2000,9196.744673
1000,2100,8758.80445
1000,2200,8360.676975
1000,2300,7997.169281
1000,2400,7663.953894
1000,2500,7357.395738
1000,2600,7074.418979
1000,2700,6812.403461
1000,2800,6569.103338
1000,2900,6342.582533
1000,3000,6131.163115
1000,3100,5933.38366
1000,3200,5747.96542
1000,3300,5573.78465
1000,3400,5409.849808
1000,3500,5255.28267
1100,100,133871.6166
1100,200,66935.80831
1100,300,44623.8722
1100,400,33467.90415
1100,500,26774.32332
1100,600,22311.9361
1100,700,19124.51666
1100,800,16733.95208
1100,900,14874.62407
1100,1000,13387.16166
1100,1100,12170.14696
1100,1200,11155.96805
1100,1300,10297.81666
1100,1400,9562.25833
1100,1500,8924.774441
1100,1600,8366.976038
1100,1700,7874.800977
1100,1800,7437.312034
1100,1900,7045.874559
1100,2000,6693.580831
1100,2100,6374.838886
1100,2200,6085.073482
1100,2300,5820.50507
1100,2400,5577.984026
1100,2500,5354.864665
1100,2600,5148.908331
1100,2700,4958.208023
1100,2800,4781.129165
1100,2900,4616.262642
1100,3000,4462.38722
1100,3100,4318.439246
1100,3200,4183.488019
1100,3300,4056.715655
1100,3400,3937.400489
1100,3500,3824.903332
1200,100,100167.4547
1200,200,50083.72735
1200,300,33389.15156
1200,400,25041.86367
1200,500,20033.49094
1200,600,16694.57578
1200,700,14309.63638
1200,800,12520.93184
1200,900,11129.71719
1200,1000,10016.74547
1200,1100,9106.132245
1200,1200,8347.287891
1200,1300,7705.188823
1200,1400,7154.818192
1200,1500,6677.830313
1200,1600,6260.465918
1200,1700,5892.203217
1200,1800,5564.858594
1200,1900,5271.9713
1200,2000,5008.372735
1200,2100,4769.878795
1200,2200,4553.066122
1200,2300,4355.106726
1200,2400,4173.643946
1200,2500,4006.698188
1200,2600,3852.594411
1200,2700,3709.905729
1200,2800,3577.409096
1200,2900,3454.050162
1200,3000,3338.915156
1200,3100,3231.208216
1200,3200,3130.232959
1200,3300,3035.377415
1200,3400,2946.101609
1200,3500,2861.927277
1300,100,76710.17098
1300,200,38355.08549
1300,300,25570.05699
1300,400,19177.54274
1300,500,15342.0342
1300,600,12785.0285
1300,700,10958.59585
1300,800,9588.771372
1300,900,8523.352331
1300,1000,7671.017098
1300,1100,6973.651907
1300,1200,6392.514248
1300,1300,5900.782383
1300,1400,5479.297927
1300,1500,5114.011399
1300,1600,4794.385686
1300,1700,4512.362999
1300,1800,4261.676165
1300,1900,4037.37742
1300,2000,3835.508549
1300,2100,3652.865285
1300,2200,3486.825954
1300,2300,3335.224825
1300,2400,3196.257124
1300,2500,3068.406839
1300,2600,2950.391191
1300,2700,2841.117444
1300,2800,2739.648963
1300,2900,2645.17831
1300,3000,2557.005699
1300,3100,2474.521644
1300,3200,2397.192843
1300,3300,2324.550636
1300,3400,2256.181499
1300,3500,2191.719171
1400,100,59919.84384
1400,200,29959.92192
1400,300,19973.28128
1400,400,14979.96096
1400,500,11983.96877
1400,600,9986.640639
1400,700,8559.977691
1400,800,7489.98048
1400,900,6657.760426
1400,1000,5991.984384
1400,1100,5447.258531
1400,1200,4993.32032
1400,1300,4609.218757
1400,1400,4279.988845
1400,1500,3994.656256
1400,1600,3744.99024
1400,1700,3524.696696
1400,1800,3328.880213
1400,1900,3153.675991
1400,2000,2995.992192
1400,2100,2853.325897
1400,2200,2723.629265
1400,2300,2605.210602
1400,2400,2496.66016
1400,2500,2396.793753
1400,2600,2304.609378
1400,2700,2219.253475
1400,2800,2139.994423
1400,2900,2066.201512
1400,3000,1997.328128
1400,3100,1932.898188
1400,3200,1872.49512
1400,3300,1815.752844
1400,3400,1762.348348
1400,3500,1711.995538
1500,100,47609.46065
1500,200,23804.73033
1500,300,15869.82022
1500,400,11902.36516
1500,500,9521.892131
1500,600,7934.910109
1500,700,6801.351522
1500,800,5951.182582
1500,900,5289.940073
1500,1000,4760.946065
1500,1100,4328.132787
1500,1200,3967.455054
1500,1300,3662.266204
1500,1400,3400.675761
1500,1500,3173.964044
1500,1600,2975.591291
1500,1700,2800.556509
1500,1800,2644.970036
1500,1900,2505.761087
1500,2000,2380.473033
1500,2100,2267.117174
1500,2200,2164.066393
1500,2300,2069.97655
1500,2400,1983.727527
1500,2500,1904.378426
1500,2600,1831.133102
1500,2700,1763.313358
1500,2800,1700.33788
1500,2900,1641.70554
1500,3000,1586.982022
1500,3100,1535.789053
1500,3200,1487.795645
1500,3300,1442.710929
1500,3400,1400.278255
1500,3500,1360.270304
1600,100,38394.0727
1600,200,19197.03635
1600,300,12798.02423
1600,400,9598.518175
1600,500,7678.81454
1600,600,6399.012117
1600,700,5484.867529
1600,800,4799.259088
1600,900,4266.008078
1600,1000,3839.40727
1600,1100,3490.370246
1600,1200,3199.506058
1600,1300,2953.390208
1600,1400,2742.433764
1600,1500,2559.604847
1600,1600,2399.629544
1600,1700,2258.474865
1600,1800,2133.004039
1600,1900,2020.740668
1600,2000,1919.703635
1600,2100,1828.289176
1600,2200,1745.185123
1600,2300,1669.307509
1600,2400,1599.753029
1600,2500,1535.762908
1600,2600,1476.695104
1600,2700,1422.002693
1600,2800,1371.216882
1600,2900,1323.933541
1600,3000,1279.802423
1600,3100,1238.518474
1600,3200,1199.814772
1600,3300,1163.456749
1600,3400,1129.237432
1600,3500,1096.973506
1700,100,31369.02742
1700,200,15684.51371
1700,300,10456.34247
1700,400,7842.256855
1700,500,6273.805484
1700,600,5228.171237
1700,700,4481.289631
1700,800,3921.128427
1700,900,3485.447491
1700,1000,3136.902742
1700,1100,2851.729765
1700,1200,2614.085618
1700,1300,2413.002109
1700,1400,2240.644816
1700,1500,2091.268495
1700,1600,1960.564214
1700,1700,1845.236907
1700,1800,1742.723746
1700,1900,1651.001443
1700,2000,1568.451371
1700,2100,1493.76321
1700,2200,1425.864883
1700,2300,1363.870757
1700,2400,1307.042809
1700,2500,1254.761097
1700,2600,1206.501055
1700,2700,1161.81583
1700,2800,1120.322408
1700,2900,1081.690601
1700,3000,1045.634247
1700,3100,1011.90411
1700,3200,980.2821069
1700,3300,950.5765885
1700,3400,922.6184535
1700,3500,896.2579263
1800,100,25927.20937
1800,200,12963.60468
1800,300,8642.403123
1800,400,6481.802342
1800,500,5185.441874
1800,600,4321.201562
1800,700,3703.887053
1800,800,3240.901171
1800,900,2880.801041
1800,1000,2592.720937
1800,1100,2357.019034
1800,1200,2160.600781
1800,1300,1994.400721
1800,1400,1851.943526
1800,1500,1728.480625
1800,1600,1620.450586
1800,1700,1525.129963
1800,1800,1440.400521
1800,1900,1364.589967
1800,2000,1296.360468
1800,2100,1234.629018
1800,2200,1178.509517
1800,2300,1127.269973
1800,2400,1080.30039
1800,2500,1037.088375
1800,2600,997.2003604
1800,2700,960.2670137
1800,2800,925.9717632
1800,2900,894.0417024
1800,3000,864.2403123
1800,3100,836.3615926
1800,3200,810.2252928
1800,3300,785.6730112
1800,3400,762.5649815
1800,3500,740.7774106
1900,100,21651.37367
1900,200,10825.68683
1900,300,7217.124555
1900,400,5412.843416
1900,500,4330.274733
1900,600,3608.562278
1900,700,3093.053381
1900,800,2706.421708
1900,900,2405.708185
1900,1000,2165.137367
1900,1100,1968.306697
1900,1200,1804.281139
1900,1300,1665.490282
1900,1400,1546.52669
1900,1500,1443.424911
1900,1600,1353.210854
1900,1700,1273.610216
1900,1800,1202.854093
1900,1900,1139.545982
1900,2000,1082.568683
1900,2100,1031.017794
1900,2200,984.1533484
1900,2300,941.3640724
1900,2400,902.1405694
1900,2500,866.0549466
1900,2600,832.745141
1900,2700,801.9027283
1900,2800,773.2633452
1900,2900,746.5990919
1900,3000,721.7124555
1900,3100,698.4314086
1900,3200,676.605427
1900,3300,656.1022323
1900,3400,636.8051078
1900,3500,618.6106761
2000,100,18248.65271
2000,200,9124.326355
2000,300,6082.884237
2000,400,4562.163178
2000,500,3649.730542
2000,600,3041.442118
2000,700,2606.950387
2000,800,2281.081589
2000,900,2027.628079
2000,1000,1824.865271
2000,1100,1658.968428
2000,1200,1520.721059
2000,1300,1403.742516
2000,1400,1303.475194
2000,1500,1216.576847
2000,1600,1140.540794
2000,1700,1073.450159
2000,1800,1013.814039
2000,1900,960.4554058
2000,2000,912.4326355
2000,2100,868.9834624
2000,2200,829.4842141
2000,2300,793.4196831
2000,2400,760.3605296
2000,2500,729.9461084
2000,2600,701.8712581
2000,2700,675.8760263
2000,2800,651.7375968
2000,2900,629.2638866
2000,3000,608.2884237
2000,3100,588.6662165
2000,3200,570.2703972
2000,3300,552.9894761
2000,3400,536.7250797
2000,3500,521.3900774
2100,100,15509.57186
2100,200,7754.78593
2100,300,5169.857286
2100,400,3877.392965
2100,500,3101.914372
2100,600,2584.928643
2100,700,2215.653123
2100,800,1938.696482
2100,900,1723.285762
2100,1000,1550.957186
2100,1100,1409.961078
2100,1200,1292.464322
2100,1300,1193.043989
2100,1400,1107.826561
2100,1500,1033.971457
2100,1600,969.3482412
2100,1700,912.3277564
2100,1800,861.6428811
2100,1900,816.2932558
2100,2000,775.478593
2100,2100,738.5510409
2100,2200,704.9805391
2100,2300,674.3292113
2100,2400,646.2321608
2100,2500,620.3828744
2100,2600,596.5219946
2100,2700,574.4285874
2100,2800,553.9132807
2100,2900,534.8128227
2100,3000,516.9857286
2100,3100,500.3087697
2100,3200,484.6741206
2100,3300,469.987026
2100,3400,456.1638782
2100,3500,443.1306246
2200,100,13281.74657
2200,200,6640.873283
2200,300,4427.248855
2200,400,3320.436641
2200,500,2656.349313
2200,600,2213.624428
2200,700,1897.392366
2200,800,1660.218321
2200,900,1475.749618
2200,1000,1328.174657
2200,1100,1207.431506
2200,1200,1106.812214
2200,1300,1021.672813
2200,1400,948.6961832
2200,1500,885.449771
2200,1600,830.1091603
2200,1700,781.2792097
2200,1800,737.8748092
2200,1900,699.0392929
2200,2000,664.0873283
2200,2100,632.4641222
2200,2200,603.715753
2200,2300,577.467242
2200,2400,553.4061069
2200,2500,531.2698626
2200,2600,510.8364064
2200,2700,491.9165395
2200,2800,474.3480916
2200,2900,457.9912609
2200,3000,442.7248855
2200,3100,428.4434376
2200,3200,415.0545802
2200,3300,402.4771686
2200,3400,390.6396049
2200,3500,379.4784733
2300,100,11452.61527
2300,200,5726.307636
2300,300,3817.538424
2300,400,2863.153818
2300,500,2290.523054
2300,600,1908.769212
2300,700,1636.087896
2300,800,1431.576909
2300,900,1272.512808
2300,1000,1145.261527
2300,1100,1041.146843
2300,1200,954.384606
2300,1300,880.9704055
2300,1400,818.043948
2300,1500,763.5076848
2300,1600,715.7884545
2300,1700,673.6832513
2300,1800,636.256404
2300,1900,602.7692248
2300,2000,572.6307636
2300,2100,545.362632
2300,2200,520.5734215
2300,2300,497.9397944
2300,2400,477.192303
2300,2500,458.1046109
2300,2600,440.4852028
2300,2700,424.170936
2300,2800,409.021974
2300,2900,394.917768
2300,3000,381.7538424
2300,3100,369.4392023
2300,3200,357.8942273
2300,3300,347.0489476
2300,3400,336.8416256
2300,3500,327.2175792
2400,100,9937.870185
2400,200,4968.935092
2400,300,3312.623395
2400,400,2484.467546
2400,500,1987.574037
2400,600,1656.311697
2400,700,1419.695741
2400,800,1242.233773
2400,900,1104.207798
2400,1000,993.7870185
2400,1100,903.4427441
2400,1200,828.1558487
2400,1300,764.4515527
2400,1400,709.8478703
2400,1500,662.524679
2400,1600,621.1168865
2400,1700,584.5805991
2400,1800,552.1038991
2400,1900,523.0457992
2400,2000,496.8935092
2400,2100,473.2319136
2400,2200,451.721372
2400,2300,432.0813124
2400,2400,414.0779244
2400,2500,397.5148074
2400,2600,382.2257763
2400,2700,368.0692661
2400,2800,354.9239352
2400,2900,342.6851788
2400,3000,331.2623395
2400,3100,320.5764576
2400,3200,310.5584433
2400,3300,301.1475814
2400,3400,292.2902995
2400,3500,283.9391481
2500,100,8673.560847
2500,200,4336.780424
2500,300,2891.186949
2500,400,2168.390212
2500,500,1734.712169
2500,600,1445.593475
2500,700,1239.080121
2500,800,1084.195106
2500,900,963.728983
2500,1000,867.3560847
2500,1100,788.5055316
2500,1200,722.7967373
2500,1300,667.1969882
2500,1400,619.5400605
2500,1500,578.2373898
2500,1600,542.097553
2500,1700,510.2094616
2500,1800,481.8644915
2500,1900,456.5032025
2500,2000,433.6780424
2500,2100,413.026707
2500,2200,394.2527658
2500,2300,377.1113412
2500,2400,361.3983686
2500,2500,346.9424339
2500,2600,333.5984941
2500,2700,321.2429943
2500,2800,309.7700303
2500,2900,299.0883051
2500,3000,289.1186949
2500,3100,279.7922854
2500,3200,271.0487765
2500,3300,262.8351772
2500,3400,255.1047308
2500,3500,247.8160242
2600,100,7610.612882
2600,200,3805.306441
2600,300,2536.870961
2600,400,1902.65322
2600,500,1522.122576
2600,600,1268.43548
2600,700,1087.230412
2600,800,951.3266102
2600,900,845.6236535
2600,1000,761.0612882
2600,1100,691.8738983
2600,1200,634.2177401
2600,1300,585.4317601
2600,1400,543.6152058
2600,1500,507.3741921
2600,1600,475.6633051
2600,1700,447.6831107
2600,1800,422.8118268
2600,1900,400.5585727
2600,2000,380.5306441
2600,2100,362.4101372
2600,2200,345.9369492
2600,2300,330.8962122
2600,2400,317.1088701
2600,2500,304.4245153
2600,2600,292.7158801
2600,2700,281.8745512
2600,2800,271.8076029
2600,2900,262.434927
2600,3000,253.6870961
2600,3100,245.5036413
2600,3200,237.8316526
2600,3300,230.6246328
2600,3400,223.8415553
2600,3500,217.4460823
2700,100,6710.964033
2700,200,3355.482016
2700,300,2236.988011
2700,400,1677.741008
2700,500,1342.192807
2700,600,1118.494005
2700,700,958.7091475
2700,800,838.8705041
2700,900,745.6626703
2700,1000,671.0964033
2700,1100,610.0876393
2700,1200,559.2470027
2700,1300,516.2280025
2700,1400,479.3545738
2700,1500,447.3976022
2700,1600,419.435252
2700,1700,394.7625902
2700,1800,372.8313352
2700,1900,353.2086333
2700,2000,335.5482016
2700,2100,319.5697158
2700,2200,305.0438197
2700,2300,291.7810449
2700,2400,279.6235014
2700,2500,268.4385613
2700,2600,258.1140013
2700,2700,248.5542234
2700,2800,239.6772869
2700,2900,231.4125529
2700,3000,223.6988011
2700,3100,216.4827107
2700,3200,209.717626
2700,3300,203.3625464
2700,3400,197.3812951
2700,3500,191.7418295
2800,100,5944.801446
2800,200,2972.400723
2800,300,1981.600482
2800,400,1486.200362
2800,500,1188.960289
2800,600,990.800241
2800,700,849.2573495
2800,800,743.1001808
2800,900,660.533494
2800,1000,594.4801446
2800,1100,540.4364951
2800,1200,495.4001205
2800,1300,457.2924189
2800,1400,424.6286747
2800,1500,396.3200964
2800,1600,371.5500904
2800,1700,349.6942027
2800,1800,330.266747
2800,1900,312.8842866
2800,2000,297.2400723
2800,2100,283.0857832
2800,2200,270.2182476
2800,2300,258.4696281
2800,2400,247.7000603
2800,2500,237.7920579
2800,2600,228.6462095
2800,2700,220.1778313
2800,2800,212.3143374
2800,2900,204.9931533
2800,3000,198.1600482
2800,3100,191.7677886
2800,3200,185.7750452
2800,3300,180.1454984
2800,3400,174.8471014
2800,3500,169.8514699
2900,100,5288.56036
2900,200,2644.28018
2900,300,1762.853453
2900,400,1322.14009
2900,500,1057.712072
2900,600,881.4267266
2900,700,755.5086228
2900,800,661.070045
2900,900,587.6178177
2900,1000,528.856036
2900,1100,480.7782145
2900,1200,440.7133633
2900,1300,406.8123354
2900,1400,377.7543114
2900,1500,352.5706906
2900,1600,330.5350225
2900,1700,311.0917859
2900,1800,293.8089089
2900,1900,278.3452821
2900,2000,264.428018
2900,2100,251.8362076
2900,2200,240.3891073
2900,2300,229.9374069
2900,2400,220.3566817
2900,2500,211.5424144
2900,2600,203.4061677
2900,2700,195.8726059
2900,2800,188.8771557
2900,2900,182.3641503
2900,3000,176.2853453
2900,3100,170.5987213
2900,3200,165.2675112
2900,3300,160.2594048
2900,3400,155.5458929
2900,3500,151.1017246
3000,100,4723.456745
3000,200,2361.728373
3000,300,1574.485582
3000,400,1180.864186
3000,500,944.6913491
3000,600,787.2427909
3000,700,674.779535
3000,800,590.4320932
3000,900,524.8285273
3000,1000,472.3456745
3000,1100,429.4051587
3000,1200,393.6213954
3000,1300,363.3428266
3000,1400,337.3897675
3000,1500,314.8971164
3000,1600,295.2160466
3000,1700,277.8503968
3000,1800,262.4142636
3000,1900,248.6029866
3000,2000,236.1728373
3000,2100,224.9265117
3000,2200,214.7025793
3000,2300,205.3676846
3000,2400,196.8106977
3000,2500,188.9382698
3000,2600,181.6714133
3000,2700,174.9428424
3000,2800,168.6948838
3000,2900,162.8778188
3000,3000,157.4485582
3000,3100,152.3695724
3000,3200,147.6080233
3000,3300,143.1350529
3000,3400,138.9251984
3000,3500,134.955907
3100,100,4234.39933
3100,200,2117.199665
3100,300,1411.466443
3100,400,1058.599833
3100,500,846.8798661
3100,600,705.7332217
3100,700,604.9141901
3100,800,529.2999163
3100,900,470.4888145
3100,1000,423.439933
3100,1100,384.9453937
3100,1200,352.8666109
3100,1300,325.7230254
3100,1400,302.457095
3100,1500,282.2932887
3100,1600,264.6499582
3100,1700,249.0823136
3100,1800,235.2444072
3100,1900,222.8631227
3100,2000,211.7199665
3100,2100,201.6380634
3100,2200,192.4726968
3100,2300,184.1043187
3100,2400,176.4333054
3100,2500,169.3759732
3100,2600,162.8615127
3100,2700,156.8296048
3100,2800,151.2285475
3100,2900,146.01377
3100,3000,141.1466443
3100,3100,136.5935268
3100,3200,132.3249791
3100,3300,128.3151312
3100,3400,124.5411568
3100,3500,120.982838
3200,100,3809.174462
3200,200,1904.587231
3200,300,1269.724821
3200,400,952.2936155
3200,500,761.8348924
3200,600,634.8624104
3200,700,544.1677803
3200,800,476.1468078
3200,900,423.2416069
3200,1000,380.9174462
3200,1100,346.2885875
3200,1200,317.4312052
3200,1300,293.0134202
3200,1400,272.0838902
3200,1500,253.9449641
3200,1600,238.0734039
3200,1700,224.069086
3200,1800,211.6208035
3200,1900,200.4828664
3200,2000,190.4587231
3200,2100,181.3892601
3200,2200,173.1442937
3200,2300,165.616281
3200,2400,158.7156026
3200,2500,152.3669785
3200,2600,146.5067101
3200,2700,141.0805356
3200,2800,136.0419451
3200,2900,131.3508435
3200,3000,126.9724821
3200,3100,122.8765956
3200,3200,119.0367019
3200,3300,115.4295292
3200,3400,112.034543
3200,3500,108.8335561
3300,100,3437.829433
3300,200,1718.914717
3300,300,1145.943144
3300,400,859.4573583
3300,500,687.5658866
3300,600,572.9715722
3300,700,491.1184905
3300,800,429.7286791
3300,900,381.9810481
3300,1000,343.7829433
3300,1100,312.5299485
3300,1200,286.4857861
3300,1300,264.4484179
3300,1400,245.5592452
3300,1500,229.1886289
3300,1600,214.8643396
3300,1700,202.2252608
3300,1800,190.9905241
3300,1900,180.9383912
3300,2000,171.8914717
3300,2100,163.7061635
3300,2200,156.2649742
3300,2300,149.4708449
3300,2400,143.242893
3300,2500,137.5131773
3300,2600,132.224209
3300,2700,127.327016
3300,2800,122.7796226
3300,2900,118.5458425
3300,3000,114.5943144
3300,3100,110.8977237
3300,3200,107.4321698
3300,3300,104.1766495
3300,3400,101.1126304
3300,3500,98.22369809
3400,100,3112.201695
3400,200,1556.100848
3400,300,1037.400565
3400,400,778.0504238
3400,500,622.4403391
3400,600,518.7002826
3400,700,444.6002422
3400,800,389.0252119
3400,900,345.8001884
3400,1000,311.2201695
3400,1100,282.9274268
3400,1200,259.3501413
3400,1300,239.4001304
3400,1400,222.3001211
3400,1500,207.480113
3400,1600,194.512606
3400,1700,183.070688
3400,1800,172.9000942
3400,1900,163.8000892
3400,2000,155.6100848
3400,2100,148.2000807
3400,2200,141.4637134
3400,2300,135.3131172
3400,2400,129.6750706
3400,2500,124.4880678
3400,2600,119.7000652
3400,2700,115.2667295
3400,2800,111.1500605
3400,2900,107.3172998
3400,3000,103.7400565
3400,3100,100.3936031
3400,3200,97.25630298
3400,3300,94.30914228
3400,3400,91.53534398
3400,3500,88.92004844
3500,100,2825.556379
3500,200,1412.778189
3500,300,941.8521262
3500,400,706.3890947
3500,500,565.1112757
3500,600,470.9260631
3500,700,403.6509112
3500,800,353.1945473
3500,900,313.9507087
3500,1000,282.5556379
3500,1100,256.8687617
3500,1200,235.4630316
3500,1300,217.3504907
3500,1400,201.8254556
3500,1500,188.3704252
3500,1600,176.5972737
3500,1700,166.2091987
3500,1800,156.9753544
3500,1900,148.7134936
3500,2000,141.2778189
3500,2100,134.5503037
3500,2200,128.4343809
3500,2300,122.8502773
3500,2400,117.7315158
3500,2500,113.0222551
3500,2600,108.6752453
3500,2700,104.6502362
3500,2800,100.9127278
3500,2900,97.43297858
3500,3000,94.18521262
3500,3100,91.14697996
3500,3200,88.29863684
3500,3300,85.62292057
3500,3400,83.10459937
3500,3500,80.73018225
3600,100,2572.304964
3600,200,1286.152482
3600,300,857.4349881
3600,400,643.0762411
3600,500,514.4609928
3600,600,428.717494
3600,700,367.4721377
3600,800,321.5381205
3600,900,285.8116627
3600,1000,257.2304964
3600,1100,233.8459058
3600,1200,214.358747
3600,1300,197.8696126
3600,1400,183.7360689
3600,1500,171.4869976
3600,1600,160.7690603
3600,1700,151.3120567
3600,1800,142.9058313
3600,1900,135.3844718
3600,2000,128.6152482
3600,2100,122.4907126
3600,2200,116.9229529
3600,2300,111.8393463
3600,2400,107.1793735
3600,2500,102.8921986
3600,2600,98.93480632
3600,2700,95.27055423
3600,2800,91.86803444
